id,AB,Longitud,Latitud
817,160.000000,-25.423,37.739
818,160.000000,-25.423,37.735
819,160.000000,-25.420,37.732
820,160.000000,-25.414,37.728
821,160.000000,-25.409,37.727
822,160.000000,-25.404,37.728
823,160.000000,-25.399,37.730
824,160.000000,-25.395,37.728
825,160.000000,-25.391,37.727
826,160.000000,-25.386,37.727
827,160.000000,-25.381,37.727
828,160.000000,-25.377,37.726
829,160.000000,-25.374,37.724
830,160.000000,-25.369,37.721
831,160.000000,-25.365,37.719
832,160.000000,-25.361,37.717
833,160.000000,-25.358,37.713
834,160.000000,-25.357,37.709
835,160.000000,-25.356,37.706
836,160.000000,-25.356,37.702
837,160.000000,-25.354,37.699
838,160.000000,-25.663,37.859
839,160.000000,-25.664,37.856
840,160.000000,-25.665,37.852
841,160.000000,-25.665,37.849
842,160.000000,-25.665,37.844
843,160.000000,-25.665,37.840
844,160.000000,-25.665,37.836
845,160.000000,-25.666,37.831
846,160.000000,-25.666,37.826
847,160.000000,-25.665,37.823
848,160.000000,-25.663,37.820
849,160.000000,-25.660,37.817
850,160.000000,-25.661,37.813
851,160.000000,-25.661,37.809
852,160.000000,-25.660,37.806
853,160.000000,-25.658,37.805
854,160.000000,-25.654,37.806
855,160.000000,-25.652,37.802
856,160.000000,-25.649,37.799
857,160.000000,-25.646,37.797
858,160.000000,-25.650,37.796
859,160.000000,-25.654,37.797
860,160.000000,-25.658,37.794
861,161.000000,-25.662,37.792
862,160.000000,-25.666,37.791
863,160.000000,-25.669,37.789
864,160.000000,-25.671,37.786
865,160.000000,-25.673,37.783
866,160.000000,-25.674,37.779
867,160.000000,-25.677,37.776
868,160.000000,-25.678,37.773
869,160.000000,-25.680,37.768
870,160.000000,-25.684,37.767
871,160.000000,-25.689,37.765
