Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,945009,"28° 22' 48,1319''","- 16° 36' 15,8156''",673.6211,720400,0.05,979258.95
Tenerife,945010,"28° 22' 35,0652''","- 16° 36' 16,5965''",756.9365,803780,0.05,979242.59
Tenerife,945011,"28° 22' 44,1214''","- 16° 36' 34,2741''",704.0221,750840,0.05,979253.96
Tenerife,945012,"28° 22' 34,9802''","- 16° 36' 38,1926''",757.3940,804265,0.05,979243.2
Tenerife,945014,"28° 22' 13,0481''","- 16° 36' 45,9626''",849.8487,896886,0.05,979224.75
Tenerife,945015,"28° 21' 53,0695''","- 16° 37' 04,7094''",893.7957,941018,0.05,979216.09
Tenerife,945016,"28° 21' 43,6181''","- 16° 37' 25,1506''",887.5839,934834,0.05,979219.16
Tenerife,945017,"28° 21' 42,3515''","- 16° 37' 49,9922''",889.3750,936569,0.05,979219.87
Tenerife,945019,"28° 21' 50,3''","- 16° 38' 18,7''",831.3365,877,no encontrada,979230.03
Tenerife,945020,28° 22' 20'',- 16° 39' 14'',786.4472,565,no encontrada,979242.81
Tenerife,945021,"28° 21' 49,4594''","- 16° 39' 09,0907''",742.3142,789362,0.05,979251.19
Tenerife,945022,"28° 21' 39,8693''","- 16° 39' 31,8040''",713.6700,762977,0.05,979258.6
Tenerife,945023,"28° 21' 52,3''","- 16° 39' 40,1''",644.3351,692,no encontrada,979272.08
Tenerife,945024,"28° 22' 09,6884''","- 16° 39' 30,6840''",579.2254,626132,0.05,979283.94
Tenerife,945026,28° 22' 20'',- 16° 39' 14'',514.5657,566,no encontrada,979298.38
Tenerife,945027,"28° 22' 30,2104''","- 16° 39' 27,1031''",462.2838,510671,0.05,979307.8
Tenerife,945028,"28° 22' 32,3195''","- 16° 39' 48,4444''",422.0304,468826,0.05,979316.59
Tenerife,945029,"28° 22' 30,8238''","- 16° 40' 07,8023''",394.4551,442357,0.05,979323.25
Tenerife,945031,"28° 22' 32,6885''","- 16° 40' 20,2144''",353.2834,399835,0.05,979332.12
Tenerife,945032,"28° 22' 28,5729''","- 16° 40' 43,6158''",331.0587,374602,0.05,979336.87
Tenerife,945033,"28° 22' 38,6684''","- 16° 41' 04,5332''",277.7031,324352,0.05,979348.22
