id,AB,Longitud,Latitud
496,175.000000,-25364,37830
497,175.000000,-25367,37828
498,175.000000,-25368,37827
499,175.000000,-25370,37827
500,175.000000,-25372,37828
501,175.000000,-25374,37830
502,175.000000,-25375,37830
503,175.000000,-25375,37828
504,15.000000,-25375,37826
505,175.000000,-25375,37824
506,175.000000,-25375,37821
507,175.000000,-25375,37819
508,175.000000,-25374,37816
509,175.000000,-25373,37814
510,175.000000,-25371,37812
511,175.000000,-25370,37809
512,175.000000,-25370,37806
513,175.000000,-25370,37803
514,175.000000,-25370,37800
515,175.000000,-25369,37796
516,175.000000,-25367,37794
517,175.000000,-25366,37791
518,175.000000,-25366,37788
519,175.000000,-25365,37785
520,175.000000,-25364,37783
521,175.000000,-25360,37782
522,175.000000,-25358,37781
523,175.000000,-25355,37780
524,175.000000,-25352,37779
525,175.000000,-25349,37778
526,175.000000,-25345,37778
527,175.000000,-25341,37778
528,175.000000,-25338,37778
529,175.000000,-25335,37779
530,175.000000,-25333,37778
531,175.000000,-25330,37778
532,175.000000,-25326,37777
533,175.000000,-25323,37778
534,175.000000,-25320,37778
535,175.000000,-25319,37780
536,175.000000,-25319,37783
537,175.000000,-25318,37786
538,175.000000,-25317,37788
539,175.000000,-25318,37790
540,175.000000,-25319,37792
541,175.000000,-25318,37794
542,175.000000,-25315,37794
543,175.000000,-25313,37793
544,175.000000,-25311,37792
545,175.000000,-25310,37789
546,175.000000,-25309,37787
547,175.000000,-25310,37784
548,175.000000,-25308,37782
549,175.000000,-25305,37781
550,175.000000,-25303,37779
551,175.000000,-25302,37777
552,175.000000,-25300,37775
553,175.000000,-25298,37773
554,175.000000,-25296,37769
555,175.000000,-25295,37766
556,175.000000,-25294,37764
557,175.000000,-25293,37760
558,175.000000,-25292,37757
559,175.000000,-25291,37755
560,175.000000,-25289,37753
561,175.000000,-25286,37753
562,175.000000,-25283,37755
563,175.000000,-25281,37758
564,175.000000,-25280,37760
565,175.000000,-25280,37763
566,175.000000,-25280,37766
567,175.000000,-25279,37767
568,175.000000,-25276,37767
569,175.000000,-25273,37765
570,175.000000,-25271,37764
571,175.000000,-25268,37763
572,175.000000,-25265,37762
573,175.000000,-25263,37761
574,175.000000,-25261,37759
575,175.000000,-25259,37757
576,175.000000,-25257,37755
577,175.000000,-25255,37753
578,175.000000,-25253,37751
579,175.000000,-25251,37748
580,175.000000,-25251,37745
581,175.000000,-25251,37742
582,175.000000,-25250,37739
583,175.000000,-25249,37736
584,175.000000,-25249,37732
585,175.000000,-25249,37729
586,185.000000,-25288,37768
587,185.000000,-25286,37769
588,185.000000,-25285,37768
589,185.000000,-25284,37767
590,185.000000,-25284,37765
591,185.000000,-25285,37764
592,185.000000,-25287,37764
593,185.000000,-25289,37765
594,185.000000,-25290,37766
595,185.000000,-25289,37767
596,170.000000,-25439,37846
597,170.000000,-25439,37843
598,170.000000,-25439,37840
599,170.000000,-25440,37836
600,170.000000,-25440,37833
601,170.000000,-25440,37830
602,170.000000,-25441,37826
603,170.000000,-25441,37822
604,170.000000,-25442,37819
605,170.000000,-25442,37816
606,170.000000,-25442,37813
607,170.000000,-25440,37809
608,170.000000,-25436,37808
609,170.000000,-25432,37807
610,170.000000,-25427,37807
611,170.000000,-25423,37807
612,170.000000,-25418,37806
613,170.000000,-25414,37804
614,170.000000,-25411,37801
615,170.000000,-25410,37797
616,170.000000,-25409,37793
617,170.000000,-25405,37793
618,170.000000,-25401,37793
619,170.000000,-25402,37790
620,170.000000,-25402,37787
621,170.000000,-25400,37784
622,170.000000,-25398,37781
623,170.000000,-25395,37779
624,170.000000,-25392,37777
625,170.000000,-25389,37778
626,170.000000,-25386,37779
627,170.000000,-25386,37775
628,170.000000,-25382,37770
629,170.000000,-25384,37772
630,170.000000,-25380,37769
631,170.000000,-25377,37771
632,170.000000,-25374,37771
633,170.000000,-25371,37768
634,170.000000,-25369,37767
635,170.000000,-25368,37770
636,170.000000,-25364,37771
637,170.000000,-25359,37772
638,170.000000,-25355,37772
639,170.000000,-25351,37772
640,170.000000,-25347,37772
641,170.000000,-25343,37770
642,170.000000,-25341,37765
643,170.000000,-25342,37763
644,170.000000,-25340,37759
645,170.000000,-25336,37759
646,170.000000,-25333,37762
647,170.000000,-25331,37765
648,170.000000,-25327,37768
649,170.000000,-25323,37770
650,170.000000,-25318,37772
651,170.000000,-25316,37771
652,170.000000,-25312,37771
653,170.000000,-25309,37769
654,170.000000,-25305,37767
655,170.000000,-25302,37764
656,170.000000,-25300,37761
657,170.000000,-25300,37757
658,170.000000,-25302,37755
659,170.000000,-25308,37751
660,170.000000,-25305,37753
661,170.000000,-25310,37749
662,170.000000,-25310,37745
663,170.000000,-25309,37741
664,170.000000,-25307,37737
665,170.000000,-25306,37733
666,170.000000,-25306,37729
667,170.000000,-25305,37725
668,170.000000,-25303,37723
669,170.000000,-25301,37720
670,170.000000,-25299,37717
671,165.000000,-25329,37702
