id,AB (mGal),Longitud,Latitud
495,129.000000,-28.295,38.479
496,129.000000,-28.292,38.478
497,129.000000,-28.289,38.476
498,129.000000,-28.285,38.476
499,129.000000,-28.282,38.477
500,129.000000,-28.279,38.476
501,129.000000,-28.275,38.474
502,129.000000,-28.272,38.472
503,129.000000,-28.268,38.472
504,129.000000,-28.264,38.471
505,129.000000,-28.261,38.470
506,129.000000,-28.257,38.470
507,129.000000,-28.253,38.470
508,129.000000,-28.250,38.472
509,129.000000,-28.248,38.476
510,129.000000,-28.246,38.478
511,129.000000,-28.242,38.478
512,129.000000,-28.238,38.479
513,129.000000,-28.236,38.480
514,129.000000,-28.235,38.483
515,129.000000,-28.236,38.486
516,129.000000,-28.236,38.490
517,129.000000,-28.122,38.447
518,129.000000,-28.123,38.445
519,129.000000,-28.123,38.441
520,129.000000,-28.122,38.439
521,129.000000,-28.120,38.436
522,129.000000,-28.118,38.434
523,129.000000,-28.115,38.433
524,129.000000,-28.112,38.432
525,129.000000,-28.109,38.431
526,129.000000,-28.105,38.430
527,129.000000,-28.102,38.430
528,129.000000,-28.100,38.428
529,129.000000,-28.098,38.426
530,129.000000,-28.098,38.423
531,129.000000,-28.097,38.421
532,129.000000,-28.095,38.419
533,129.000000,-28.093,38.417
534,129.000000,-28.090,38.417
535,129.000000,-28.087,38.416
536,129.000000,-28.085,38.413
537,129.000000,-28.083,38.411
538,129.000000,-28.081,38.409
539,129.000000,-28.079,38.406
540,129.000000,-28.076,38.405
542,130.000000,-28.248,38.468
543,130.000000,-28.246,38.470
544,130.000000,-28.244,38.473
545,130.000000,-28.240,38.474
546,130.000000,-28.237,38.475
547,130.000000,-28.233,38.477
548,130.000000,-28.230,38.478
549,130.000000,-28.226,38.481
550,130.000000,-28.252,38.465
551,130.000000,-28.256,38.466
552,130.000000,-28.259,38.467
553,130.000000,-28.264,38.467
554,130.000000,-28.269,38.467
555,130.000000,-28.273,38.468
556,130.000000,-28.276,38.470
557,130.000000,-28.278,38.471
558,130.000000,-28.283,38.473
559,130.000000,-28.288,38.473
560,130.000000,-28.293,38.475
