id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º
508,101.000000,39,-29,38.588,-28.792
509,101.000000,39,-29,38.590,-28.790
510,101.000000,39,-29,38.592,-28.789
511,101.000000,39,-29,38.594,-28.789
512,101.000000,39,-29,38.595,-28.790
513,101.000000,39,-29,38.597,-28.790
514,101.000000,39,-29,38.598,-28.790
515,101.000000,39,-29,38.600,-28.789
516,101.000000,39,-29,38.601,-28.790
517,101.000000,39,-29,38.602,-28.791
518,101.000000,39,-29,38.603,-28.792
519,101.000000,39,-29,38.605,-28.792
520,101.000000,39,-29,38.607,-28.792
521,101.000000,39,-29,38.608,-28.793
522,101.000000,39,-29,38.609,-28.794
523,101.000000,39,-29,38.610,-28.795
524,101.000000,39,-29,38.611,-28.797
525,95.000000,39,-29,38.578,-28.803
526,95.000000,39,-29,38.580,-28.803
527,95.000000,39,-29,38.581,-28.803
528,95.000000,39,-29,38.583,-28.803
529,95.000000,39,-29,38.585,-28.802
530,29.000000,39,-29,38.587,-28.801
531,95.000000,39,-29,38.588,-28.799
532,95.000000,39,-29,38.590,-28.797
533,95.000000,39,-29,38.591,-28.795
534,95.000000,39,-29,38.593,-28.794
535,95.000000,39,-29,38.595,-28.793
536,95.000000,39,-29,38.597,-28.794
537,95.000000,39,-29,38.598,-28.796
538,95.000000,39,-29,38.600,-28.798
539,95.000000,39,-29,38.601,-28.800
540,95.000000,39,-29,38.602,-28.802
541,95.000000,39,-29,38.604,-28.804
542,95.000000,39,-29,38.605,-28.805
543,95.000000,39,-29,38.607,-28.805
544,95.000000,39,-29,38.610,-28.805
545,93.000000,39,-29,38.595,-28.799
546,93.000000,39,-29,38.593,-28.801
547,93.000000,39,-29,38.592,-28.803
548,93.000000,39,-29,38.592,-28.805
549,93.000000,39,-29,38.592,-28.807
550,93.000000,39,-29,38.591,-28.809
551,93.000000,39,-29,38.590,-28.811
552,93.000000,39,-29,38.587,-28.811
553,93.000000,39,-29,38.585,-28.810
554,93.000000,39,-29,38.582,-28.809
555,93.000000,39,-29,38.580,-28.809
556,93.000000,39,-29,38.597,-28.800
557,93.000000,39,-29,38.597,-28.802
558,93.000000,39,-29,38.598,-28.803
559,93.000000,39,-29,38.599,-28.805
560,93.000000,39,-29,38.601,-28.807
561,93.000000,39,-29,38.601,-28.809
562,93.000000,39,-29,38.603,-28.810
563,93.000000,39,-29,38.605,-28.811
564,93.000000,39,-29,38.606,-28.811
565,93.000000,39,-29,38.608,-28.811
566,93.000000,39,-29,38.610,-28.811
567,91.000000,39,-29,38.582,-28.813
568,91.000000,39,-29,38.584,-28.813
569,91.000000,39,-29,38.585,-28.813
570,91.000000,39,-29,38.587,-28.814
571,91.000000,39,-29,38.588,-28.815
572,91.000000,39,-29,38.590,-28.815
573,91.000000,39,-29,38.592,-28.813
574,91.000000,39,-29,38.593,-28.811
575,91.000000,39,-29,38.594,-28.809
576,91.000000,39,-29,38.594,-28.807
578,91.000000,39,-29,38.597,-28.807
579,91.000000,39,-29,38.598,-28.808
580,91.000000,39,-29,38.599,-28.810
