Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.60146,19.483591,4111.8,978039.13,977338.9784429747,700.1515570252668,251.89134462526675,309.6000399817045
-155.168952,19.58191,692.5,978730.19,978399.0193475304,331.1706524695037,255.67568746950369,270.15397115941533
-155.214957,19.568579,983.0,978677.38,978308.6092363121,368.77076368790586,261.60606968790586,276.8467474247221
-155.279623,19.558914,1430.1,978585.38,978170.103944219,415.2760557810543,259.3694139810543,274.10540497631445
-155.106955,19.665238,198.7,978815.13,978556.1939218964,258.93607810360845,237.27420150360845,248.8628388966344
-155.135962,19.655239,373.4,978777.81,978501.6945073867,276.11549261340406,235.40817141340406,247.62844388889243
-155.162284,19.558578,727.3,978726.25,978386.9505659661,339.299434033921,260.010642633921,271.9367784629615
-155.292961,19.453587,1280.8,978634.69,978210.1868297266,424.50317027338315,284.87291587338314,299.67747917052264
-155.313453,19.490252,1530.7,978575.88,978135.1649967206,440.715003279387,273.841150679387,290.64111264039263
-155.33013,19.504586,1667.0,978542.75,978093.9303184006,448.81968159938697,267.0866755993869,284.87871556755186
-155.33895,19.519918,1836.4,978509.63,978042.5453242387,467.08467576128896,266.88402056128893,285.2983928210987
-155.344626,19.529583,1900.4,978495.31,978023.3532302569,471.95676974311937,264.77896254311935,285.78842565319303
-155.340291,19.544915,1911.4,978488.5,978020.8321062311,467.6678937688703,259.2908885688703,278.9183352422929
-155.087957,19.730235,8.2,978858.31,978618.7251509329,239.58484906714875,238.69090146714876,250.10629860213734
-155.093128,19.785232,52.1,978861.5,978608.3286913956,253.1713086044183,247.4914708044183,259.88880682003463
-155.094959,19.825229,115.5,978852.31,978591.056300619,261.25369938102085,248.66212038102086,262.03693528781275
-155.117281,19.876892,36.9,978884.69,978618.2984949417,266.39150505827274,262.36874085827276,280.2797183260414
-155.167619,19.936891,70.7,978885.0,978611.3291422115,273.67085778852925,265.96328518852926,286.2191489416628
