Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.8_mGal,Bouguer_Completa_2.9_mGal
-155.558779,19.626747,2252.5,978406.0,977920.2905105597,485.7094894403126,240.1464444403126,270.0545050874822,294.31912957893826,253.87808875984499,245.78988059602622
-155.171452,19.726068,442.9,978766.0,978484.2957111051,281.70428889489267,233.42021669489267,308.90369481087356,305.1958126200331,311.3756162714339,312.61157700171407
-155.124791,19.731902,251.5,978805.56,978543.7113727388,261.8486272612354,234.43060026123538,327.40877311912845,319.232001918331,332.85995391966,335.5855443199258
-155.141453,19.768567,433.4,978775.69,978489.6662933126,286.0237066873815,238.7753054873815,289.2190972286462,288.1546850336253,289.9287053586602,290.2835094236671
-155.139957,19.809397,438.9,978789.0,978490.3152715245,298.6847284755204,250.8367282755204,299.6463347341582,298.73988896155015,300.25063191589686,300.5527805067662
-155.15645,19.858563,388.6,978801.5,978508.6724413398,292.82755866018124,250.46316386018123,305.0664729501355,302.80804841773863,306.5720893050668,307.32489748253244
-155.179948,19.901894,449.6,978802.81,978492.3436714505,310.46632854954805,261.451835749548,313.5956465454823,312.14098560298044,314.5654205071501,315.05030748798407
-155.516949,20.012058,1027.8,978712.94,978320.2753998756,392.6646001243498,280.6158997243498,312.97556770295364,321.5841766178197,307.23649509304295,304.36695878808763
-155.519619,19.98856,1172.0,978681.69,978274.4171647496,407.2728352503618,279.50373925036183,296.46603219041697,308.67447599064076,288.32706965693444,284.25758839019306
-155.583614,19.949064,1152.1,978679.44,978278.270158352,401.16984164796304,275.57020384796306,293.928653797813,305.8155912997195,286.0040287965419,282.04171629590627
-155.586941,19.932898,1222.2,978659.56,978255.7052210696,403.85477893042844,270.6129793304284,283.65266578940066,297.03372099791443,274.7319623170581,270.2716105808868
-155.615107,19.985726,937.3,978735.44,978346.6755395185,388.76446048147045,286.5818890814704,306.2675100372363,315.32883220983535,300.226628588837,297.2061878646374
-155.640116,20.003226,865.6,978754.5,978369.816529534,384.68347046605777,290.3174896660578,316.89274628302917,324.26945592043955,311.97493985808904,309.5160366456189
-155.116292,19.696904,193.5,978814.25,978559.6107621652,254.63923783483915,233.54425483483914,331.8994866763414,322.421621380978,338.218063539917,341.3773519717048
-155.141286,19.685238,342.3,978783.06,978513.0098492084,270.0501507916488,232.73328939164878,318.10488858864454,312.00306914816946,322.17276821562785,324.20670802911957
-155.239781,19.696906,914.4,978674.19,978337.1055060213,337.0844939786475,237.39843477864753,270.52305559579696,277.63386628131053,265.7825151387877,263.41224491028316
-155.333286,19.676075,1524.0,978573.69,978147.8195511937,425.8704488062067,259.7270168062067,312.6496486191845,325.12541377358514,304.3324718495842,300.1738834647839
-155.365283,19.669909,1689.8,978546.25,978096.3181249653,449.9318750347011,265.7132586347011,301.79368043058594,318.2951903207115,290.7926738371688,285.29217054046035
-155.400118,19.682241,1828.8,978524.0,978054.1456094857,469.85439051431604,270.48227211431606,292.86416824378887,312.6939687117581,279.6443012651428,273.03436777581976
-155.435625,19.685408,1943.1,978504.25,978019.0703003503,485.17969964968506,273.34682384968505,331.32123617966647,348.48320828609064,319.8799214420502,314.1592640732422
-155.460617,19.765572,2938.3,978293.88,977716.7707078464,577.1092921536183,256.7817027536183,377.8384309975173,400.0830084537676,363.0087126933504,355.593853541267
-155.40729,19.727907,2112.3,978460.75,977969.3173899634,491.43261003657244,261.15388863657245,299.0384045421607,320.5964617799183,284.6663663836555,277.4803473044028
-155.374788,19.716573,1738.9,978534.06,978083.8430564195,450.2169435805408,260.6455433805408,291.75543668455333,309.4387382084555,279.9665690019519,274.07213516065104
-155.390124,19.732237,2053.4,978468.75,977987.7320356125,481.01796438754536,257.16040318754534,288.63725070245266,310.18902896932457,274.2693985245377,267.08547243558064
-155.369616,19.756071,2051.0,978463.06,977989.8396813845,473.22031861555297,249.62440061555296,291.3813252861256,311.68836156873544,277.8433010977192,271.0742890035157
-155.342286,19.785402,2005.3,978466.63,978005.6198454984,461.0101545016514,242.3963591016514,282.17406365516047,302.09127915684513,268.8959199873705,262.25684815347586
-155.336778,19.819066,2010.5,978466.0,978005.9520987883,460.0479012116557,240.8672122116557,282.83425496186345,302.5194699441702,269.7107783069923,263.1490399795571
-155.33728,19.846565,1957.7,978484.13,978023.8213951348,460.3086048652185,246.8840662652185,283.97726140634006,303.53309082001573,270.94004179722276,264.4214319926641
-155.33812,19.877729,1891.3,978498.25,978046.0993259753,452.1506740247132,245.96493062471322,277.9532825491507,297.2221606104049,265.1073638416477,258.6844044878963
-155.335784,19.914893,1613.9,978561.56,978133.8160152652,427.74398473487236,251.79983453487233,309.9493811943885,322.68488903467244,301.45904263419885,297.2138733541042
-155.364776,19.928228,1638.6,978558.31,978126.9670253879,431.3429746121401,252.7060798121401,351.55335536623954,359.941134937409,345.9615023187932,343.16557579507
-155.393447,19.911228,2079.7,978464.25,977989.9232429708,474.3267570291646,247.6020224291646,323.9483876072028,340.47609845183865,312.9299137107789,307.4206767625669
-155.158957,19.618574,580.6,978745.56,978435.6462924894,309.9137075106846,246.6178567106846,307.7176095011609,307.3991155583781,307.9299387963494,308.03610344394366
