Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0282,19.880833,-155.340836,19.877729,-155.33812,1891.3,978498.25
GS0283,19.917999,-155.338501,19.914893,-155.335784,1613.9,978561.56
GS0284,19.931334,-155.367493,19.928228,-155.364776,1638.6,978558.31
GS0285,19.914333,-155.396164,19.911228,-155.393447,2079.7,978464.25
GS0286,19.621666,-155.161667,19.618574,-155.158957,580.6,978745.56
GS0287,19.655001,-155.177338,19.651908,-155.174627,594.4,978736.81
GS0288,19.653,-155.369171,19.64991,-155.366458,1731.3,978533.88
GS0289,19.627501,-155.363007,19.624412,-155.360295,1752.6,978523.88
GS0290,19.59,-155.094162,19.586909,-155.091453,346.6,978796.44
GS0291,19.483334,-155.270004,19.480252,-155.267295,1280.8,978622.81
GS0292,19.463333,-155.25,19.460252,-155.247292,1155.2,978649.88
GS0293,19.804001,-155.470673,19.800904,-155.467957,3773.4,978124.69
GS0294,19.823668,-155.47084,19.82057,-155.468123,4205,978010.81
GS0295,19.814167,-155.477661,19.811069,-155.474944,3994.4,978075.25
GS0296,20.198,-155.721664,20.194884,-155.718938,6.4,978905.06
GS0297,20.173334,-155.714996,20.17022,-155.712271,563.9,978792.63
GS0298,20.164333,-155.694504,20.161219,-155.691779,623.3,978786.19
GS0299,20.1255,-155.825836,20.12239,-155.823111,618.1,978757.63
GS0300,20.108833,-155.862503,20.105724,-155.859777,204.2,978827.44
GS0301,20.101667,-155.880005,20.098559,-155.877279,8.5,978874.44
GS0302,20.114166,-155.842499,20.111057,-155.839774,423.4,978793.19
GS0303,20.058332,-155.672501,20.055223,-155.669778,1127.8,978723.19
GS0304,20.088333,-155.679169,20.085223,-155.676446,1227.1,978686.63
GS0305,19.353666,-155.17366,19.35059,-155.170954,831.5,978709.19
GS0306,19.339001,-155.140839,19.335926,-155.138134,701.6,978720.69
GS0307,19.331667,-155.120163,19.328592,-155.117458,499.3,978756.25
GS0308,19.33,-155.098328,19.326924,-155.095624,282.5,978798.56
GS0309,19.329666,-155.076172,19.32659,-155.073468,107.3,978834.94
GS0310,19.3325,-155.043503,19.329423,-155.040799,23.2,978850.56
GS0311,20.1875,-155.903336,20.184388,-155.900609,3.4,978855.13
GS0312,20.203333,-155.895004,20.20022,-155.892277,83.2,978841.44
GS0313,20.219166,-155.888336,20.216052,-155.885608,112.8,978838.38
GS0314,20.23,-155.880005,20.226885,-155.877277,137.2,978837.75
GS0315,20.242167,-155.856674,20.239051,-155.853946,185.3,978833.25
GS0316,20.268,-155.870667,20.264883,-155.867939,16.5,978861.63
GS0317,20.256001,-155.835999,20.252884,-155.833271,106.4,978849.44
GS0318,20.241333,-155.829163,20.238216,-155.826436,162.2,978842.31
GS0319,20.237499,-155.815506,20.234382,-155.812779,168.2,978842.88
GS0320,20.233334,-155.808334,20.230218,-155.805607,146.6,978850.63
GS0321,20.249332,-155.774002,20.246214,-155.771275,9.4,978874.06
GS0322,20.225666,-155.77066,20.222549,-155.767933,80.5,978870.06
GS0323,20.208334,-155.737503,20.205218,-155.734777,148.1,978865.13
GS0324,20.219999,-155.748337,20.216882,-155.745611,120.1,978865.88
GS0325,20.204666,-155.761002,20.20155,-155.758276,280.4,978836.44
GS0326,20.212667,-155.787994,20.209551,-155.785267,295,978827.38
GS0327,20.222,-155.820007,20.218884,-155.81728,294.1,978821.63
GS0328,20.209499,-155.867996,20.206385,-155.865269,253.6,978818.06
GS0329,20.186666,-155.851334,20.183553,-155.848607,421.5,978791
GS0330,20.183001,-155.832993,20.179888,-155.830266,599.2,978769.25
GS0331,20.216667,-155.84166,20.213552,-155.838933,389.5,978800.5
GS0332,20.165001,-155.819168,20.161889,-155.816442,717.8,978751.25
GS0333,20.167999,-155.803665,20.164886,-155.800939,768.4,978747.69
GS0334,20.15,-155.808334,20.146888,-155.805608,815.9,978734.31
GS0335,20.119833,-155.791336,20.116723,-155.788611,946.4,978709.38
GS0336,20.104666,-155.782501,20.101556,-155.779776,977.5,978704.19
GS0337,20.092667,-155.77034,20.089558,-155.767616,1079,978687.56
GS0338,20.08,-155.764832,20.076892,-155.762108,1064.7,978691.56
GS0339,20.049999,-155.737503,20.046892,-155.73478,963.5,978726.06
GS0340,20.030001,-155.70166,20.026894,-155.698937,735.8,978777.5
GS0341,20.030001,-155.726669,20.026895,-155.723946,631.9,978790.88
GS0342,20.027,-155.76033,20.023894,-155.757607,476.1,978808.06
GS0343,20.025,-155.777496,20.021895,-155.774773,359.1,978824
GS0344,20.025833,-155.813004,20.022728,-155.81028,96.6,978865.75
GS0345,20.042667,-155.834,20.039562,-155.831276,1.8,978881.31
GS0346,20.019667,-155.824341,20.016563,-155.821617,22.9,978877.06
GS0347,20.004168,-155.82666,20.001065,-155.823937,25,978873.94
GS0348,19.992001,-155.82634,19.988898,-155.823617,29.3,978870.5
GS0349,19.962,-155.860992,19.9589,-155.858269,2.1,978862.75
GS0350,19.975334,-155.841995,19.972233,-155.839272,3,978869.88
GS0351,20.001333,-155.679993,19.998228,-155.677271,805.6,978759.31
GS0352,19.988333,-155.679672,19.985228,-155.67695,794,978757.13
GS0353,19.963333,-155.744995,19.960231,-155.742273,477.6,978794.19
GS0354,19.975,-155.705002,19.971897,-155.70228,688.8,978768.25
GS0355,20.033333,-155.641663,20.030225,-155.638941,869.9,978760.25
GS0356,20.0425,-155.592499,20.039391,-155.589777,866.9,978760.06
GS0357,19.958666,-155.683334,19.955563,-155.680613,765.4,978752.38
GS0358,19.905001,-155.678329,19.901901,-155.675609,1005.2,978682.75
GS0359,19.763334,-155.572495,19.760241,-155.569778,1821.8,978522.75
GS0360,19.771667,-155.590836,19.768573,-155.588119,1782.8,978524.44
GS0361,19.795,-155.628326,19.791906,-155.625608,1670,978537.06
GS0362,19.815666,-155.635834,19.812571,-155.633116,1716.9,978527.75
GS0363,19.829166,-155.639008,19.82607,-155.63629,1690.1,978536.75
GS0364,19.905001,-155.708328,19.901902,-155.705608,794.6,978717.56
GS0365,19.888334,-155.718338,19.885236,-155.715618,792.8,978708.5
GS0366,19.642834,-155.999664,19.639754,-155.996945,2.1,978839.5
GS0367,19.635,-155.991669,19.63192,-155.98895,10.1,978840.13
