longitude,latitude,Bouguer_mG
55.46919435272852,-21.130159363220056,310.0
55.461670925276486,-21.132230653080605,310.0
55.45369223617477,-21.13238478215235,310.0
55.44726532196996,-21.12766019171924,310.0
55.445842652642725,-21.13179074580468,307.5
55.441061188894714,-21.125389269566128,307.5
55.43809770092298,-21.118042624349542,307.5
55.43692560353524,-21.1101801761303,307.5
55.43860820886747,-21.102396109891163,307.5
55.441568466138,-21.094975644246475,307.5
55.44549723596834,-21.088044130871122,307.5
55.450057467783985,-21.08147339638707,307.5
55.454052199850864,-21.074548923069507,307.5
55.45857708553703,-21.06795154408031,307.5
55.463469319538035,-21.061625124624427,307.5
55.46871216022528,-21.05559313741373,307.5
55.474503383356705,-21.050095242802218,307.5
55.480386627264664,-21.044676375418195,307.5
55.48749033784889,-21.04104158820093,307.5
55.49518883731,-21.03900065831442,307.5
55.503093066281885,-21.037801475785777,307.5
55.51100168480541,-21.038391527749138,307.5
55.51850608951183,-21.041159460694082,307.5
55.52591624346993,-21.0441726985438,307.5
55.527904325061435,-21.050262045410765,307.5
55.526266853790055,-21.05802486884277,307.5
55.52804736447995,-21.065727904899852,307.5
55.531065279980695,-21.07309033957589,307.5
55.53166703995822,-21.0734935086638,307.5
55.52976440517927,-21.081017473041786,307.5
55.525666195145476,-21.08786434557089,307.5
55.5203305756617,-21.093612925918094,307.5
55.514061261509674,-21.09846595118772,307.5
55.50755257327837,-21.103105250488927,307.5
55.5020541938662,-21.10864365180323,307.5
55.497630286890875,-21.115190742795843,307.5
55.491729765273114,-21.12058605567034,307.5
55.4851892295917,-21.125144753488964,307.5
55.4783437241026,-21.12927367733012,307.5
55.47135624841475,-21.133114018204243,307.5
55.4641621056909,-21.13646792653924,307.5
55.45623512614072,-21.137096058611142,307.5
55.44885825955654,-21.134225893160203,307.5
55.439464198680234,-21.12814558211418,305.0
55.43645904061286,-21.1209048136287,305.0
55.43549312670735,-21.112991116427636,305.0
55.43640396766734,-21.10507401035697,305.0
55.43855294339248,-21.097373559720992,305.0
55.44115875137729,-21.089809846033504,305.0
55.44399557047077,-21.082409436763907,305.0
55.44867306538394,-21.075935197200526,305.0
55.45248792456294,-21.06890634804119,305.0
55.456994541596245,-21.06240297492035,305.0
55.4622206675307,-21.056363072354355,305.0
55.467289363871764,-21.050176886954876,305.0
55.472642110909895,-21.04423448772052,305.0
55.47897496309878,-21.03938801631362,305.0
55.486090978151005,-21.035935129056604,305.0
55.49373993030975,-21.033591872634858,305.0
55.50165554718789,-21.03348506855969,305.0
55.5095828109124,-21.034483602806574,305.0
55.5173819174209,-21.036206776626525,305.0
55.524777795396446,-21.039155324485588,305.0
55.5318480753548,-21.042892360404675,305.0
55.535460128042565,-21.048729298433265,305.0
55.53003124851931,-21.054429839988135,305.0
55.5294520283205,-21.06195876216615,305.0
55.53234234446277,-21.0693987606418,305.0
55.53464247989417,-21.07698361052886,305.0
55.53164284581034,-21.084324928188316,305.0
55.527794266559674,-21.091336417978862,305.0
55.522095567293384,-21.096826177322317,305.0
55.516330633612455,-21.102178758030636,305.0
55.509814922261,-21.106765464160652,305.0
55.50454100660864,-21.112706141456336,305.0
55.499729648947955,-21.11904113203096,305.0
55.49342661896573,-21.12395315491732,305.0
55.48677109181634,-21.128391950569423,305.0
55.480182231482125,-21.13292201987411,305.0
55.47317690807881,-21.136769919084536,305.0
55.465983581485744,-21.14005271944198,305.0
55.45798813308946,-21.14014618881469,305.0
55.450098675520145,-21.139021720479167,305.0
55.443983094809255,-21.134090351392132,305.0
55.439509730003856,-21.12746078882404,305.0
55.44228541235861,-21.139348271917022,302.5
55.438004251236265,-21.132599504705407,302.5
55.43508033566705,-21.12517632273519,302.5
55.432955552174235,-21.117547424206112,302.5
55.4327885150015,-21.109555043140716,302.5
55.433788001766224,-21.10161940295845,302.5
55.4353069110837,-21.093767579705975,302.5
55.43825264555477,-21.08634121106119,302.5
55.44222789728571,-21.079409959958074,302.5
55.446101746440185,-21.07242720794805,302.5
55.44980935803226,-21.065343030849842,302.5
55.45462970364648,-21.058958340711747,302.5
55.459610636261615,-21.052698264165265,302.5
55.46399259807861,-21.04601040410043,302.5
55.46929466010234,-21.040053729879332,302.5
55.47557981802573,-21.035156013131225,302.5
55.48280784562703,-21.03174741034866,302.5
55.49059641736168,-21.029977806082186,302.5
55.49858947664731,-21.029672772215232,302.5
55.506589305172355,-21.02968710373872,302.5
55.514441313524436,-21.0305943822475,302.5
55.52176261099276,-21.03379766489001,302.5
55.52902979635419,-21.03712290630022,302.5
55.53567133406107,-21.04153968969268,302.5
55.539598682536486,-21.048313261223267,302.5
55.53596404069399,-21.054535524640436,302.5
55.532148692524764,-21.06095309428323,302.5
55.53400086207027,-21.068417726098875,302.5
55.538093838152285,-21.075159372770575,302.5
55.53639337487549,-21.082901209967165,302.5
55.53213037868477,-21.0895905875708,302.5
55.52697984086721,-21.09567934502677,302.5
55.5211425724824,-21.101132267982646,302.5
55.51531100428804,-21.1065884057526,302.5
55.508675317804276,-21.11101914696504,302.5
55.50493569946469,-21.117882903936703,302.5
55.50000303950999,-21.124147834834513,302.5
55.493765138692154,-21.129146556656593,302.5
55.48692488202163,-21.133282493419607,302.5
55.47970751735176,-21.13672348895972,302.5
55.47299524928277,-21.141032629572113,302.5
55.465685439108896,-21.14364425233129,302.5
55.45769719838106,-21.144026789764993,302.5
55.44993504504941,-21.14286529736686,302.5
55.44044615811126,-21.141687549307424,300.0
55.43609423886449,-21.135102927462103,300.0
55.432852967662626,-21.127924040132623,300.0
55.43090099534428,-21.120167797640566,300.0
55.430157832724674,-21.112223474854865,300.0
55.43014993998928,-21.10422357098548,300.0
55.43112463696124,-21.09632617981333,300.0
55.434184314023135,-21.088949879589403,300.0
55.43737478270561,-21.081614388313955,300.0
55.44077426865436,-21.07437599973134,300.0
55.44467585381798,-21.06739301844479,300.0
55.448726451215286,-21.060518654090565,300.0
55.45342569422105,-21.05414000346683,300.0
55.45467474905808,-21.052067434938113,300.0
55.459130148212594,-21.045458714744196,300.0
55.46434645166823,-21.039398401528903,300.0
55.46949540873477,-21.033326692609453,300.0
55.47605799624267,-21.028775580988466,300.0
55.4839155669941,-21.02735109015902,300.0
55.491898505801636,-21.026850584274793,300.0
55.499890393243085,-21.026579905383752,300.0
55.507875439192674,-21.026383690996177,300.0
55.51573202293345,-21.027879903169794,300.0
55.52333926031639,-21.030286601537956,300.0
55.53051272783492,-21.03378163352667,300.0
55.537313208443734,-21.03797403995548,300.0
